shona,luo
Pakutanga Mwari akasika denga nenyika.,Kar chakruok Nyasaye ne ochueyo polo gi piny.
"Nyika yakanga isina kugadzirwa, isina chinhu, rima riri pamusoro pemvura yakadzika, uye simba raMwari raanoshandisa raitenderera riri pamusoro pemvura.","Piny ne ni nono, kendo ne oonge kido. Mudho mandiwa noimo nam, kendo roho mar Nyasaye ne dhi koni gi koni e wi pi."
Uye Mwari akati: “Chiedza ngachivepo.” Chiedza chakabva chavapo.,Eka Nyasaye nowacho niya: “Ler mondo obedie.” Mi ler nobedoe.
"Pashure paizvozvo Mwari akaona kuti chiedza chakanga chakanaka, uye Mwari akatanga kuparadzanisa chiedza nerima.","Bang’ mano, Nyasaye noneno ni ler ne ber, omiyo nochako pogo ler gi mudho."
"Mwari akatumidza chiedza kuti Masikati, asi rima akaritumidza kuti Usiku. Uye manheru akavapo nemangwanani akavapo, zuva rekutanga.","Nyasaye noluongo ler ni Odiechieng’, to mudho noluongo ni Otieno. Piny noimore kendo noyawore, mi mano nobedo odiechieng’ mokwongo."
"Mwari akabva ati: “Ngapave nenzvimbo huru inoparadzanisa mvura, uye ngapave nemuganhu pakati pemvura nemvura.”",Eka Nyasaye nowacho niya “Gima pogo pige diriyo mondo obedie.”
Mwari akatanga kugadzira nzvimbo huru uye akaparadzanisa mvura iri pasi penzvimbo huru nemvura iri pamusoro penzvimbo huru. Uye zvakaitika saizvozvo.,"Omiyo, Nyasaye nochueyo gima nopogo pi ma malo gi pi ma piny. Mi nobedo kamano."
"Mwari akatumidza nzvimbo yacho huru kuti Denga. Uye manheru akavapo nemangwanani akavapo, zuva rechipiri.","Nyasaye noluongo gima ne ochueyono ni Polo. Piny noimore kendo noyawore, mi mano nobedo odiechieng’ mar ariyo."
"Mwari akabva ati: “Mvura iri pasi pedenga ngaiungane munzvimbo imwe, uye pasi pakaoma ngapaoneke.” Uye zvakaitika saizvozvo.","Bang’ mano, Nyasaye nowacho niya: “Pi manie bwo polo mondo ochokre kendo lowo motwo onenre.” Mi nobedo kamano."
"Mwari akatumidza pasi pakaoma kuti Nyika, asi mvura yakaungana akaitumidza kuti Makungwa. Uye Mwari akaona kuti zvakanga zvakanaka.","Nyasaye noluongo lowo motwono ni Piny, to pige ma nochokore noluongo ni Nembe. Mi Nyasaye noneno ni gima nosetimono ber."
"Mwari akabva ati: “Nyika ngaimere uswa, zvinomera zvinobereka mbeu, nemiti yemichero maererano nemarudzi ayo, ichibereka michero nemhodzi dzayo panyika.” Uye zvakaitika saizvozvo.","Eka Nyasaye nowacho niya: “Lum, alode kod yien ma nyago kodhi, kod kit yien duto ma nyago olemo mondo otwi e piny kaka kothgi obet.” Mi nobedo kamano."
"Nyika yakatanga kumera uswa, zvinomera zvinobereka mbeu, nemiti inobereka michero nemhodzi dzayo, maererano nemarudzi azvo. Mwari akaona kuti zvakanga zvakanaka.","Kendo piny nochako nyago lum, alode gi yiende ma nyago kodhi, kod yiende ma nyago olembe, kaka kothgi obet. Mi Nyasaye noneno ni gima nosetimono ne ber."
"Uye manheru akavapo nemangwanani akavapo, zuva rechitatu.","Piny noimore kendo noyawore, mi mano nobedo odiechieng’ mar adek."
"Mwari akabva ati: “Zvinovheneka ngazvive munzvimbo huru yekudenga kuti zviparadzanise masikati neusiku, uye zvichashanda sezviratidzo zvekuziva nazvo mwaka, mazuva, nemakore.","Bang’e, Nyasaye nowacho niya: “Gik marieny mondo obed e polo, mondo gipog odiechieng’ gi otieno. Gibiro nyiso ndalo koyo gi ndalo liet, kaachiel gi odiechienge kod higni."
Zvichava zvinovheneka munzvimbo huru yekudenga kuti zvivhenekere nyika.” Uye zvakaitika saizvozvo.,Gibiro rieny e kor polo mondo gikel ler e piny.” Mi nobedo kamano.
"Mwari akabva aita zvinovheneka zvikuru zviviri, chikuru chacho kuti chitonge masikati uye chidiki chacho kuti chitonge usiku, uye akaitawo nyeredzi.","Kendo Nyasaye noloso gik moko ariyo madongo marieny. Ma ne rito odiechieng’ ne duong’ moloyo ma ne rito otieno. Bende, noloso sulwe."
Saka Mwari akazviisa munzvimbo huru yekudenga kuti zvivhenekere nyika,"Noketo gik marienygo e kor polo mondo gikel ler e piny,"
uye kuti zvitonge masikati neusiku nekuparadzanisa chiedza nerima. Mwari akaona kuti zvakanga zvakanaka.,"kendo mondo girit odiechieng’ gi otieno, ka gipogo ler gi mudho. Mi Nyasaye noneno ni gima nosetimono ne ber."
"Uye manheru akavapo nemangwanani akavapo, zuva rechina.","Piny noimore kendo noyawore, mi mano nobedo odiechieng’ mar ang’wen."
"Mwari akabva ati: “Mvura ngaizare nezvisikwa zvipenyu, uye zvisikwa zvinobhururuka ngazvibhururuke pamusoro penyika munzvimbo huru yekudenga.”","Eka Nyasaye nowacho niya: “Gik mangima mondo opong’ pige, bende, gik ma fuyo ofu e kor polo.”"
